№;Название файла (локально);File ID в векторном хранилище
128;KHS_11_UNI_KAZ_2020_Кабульдинов З._1.pdf;file-VHZ763q1fpdhjv2W8YW184
129;KHS_11_UNI_KAZ_2020_Кабульдинов З._2.pdf;file-92G7BdV1EW1PEU4afbQ29U
130;KHS_11_UNI_RUS_2020_Кабульдинов З._1.pdf;file-NnGg54PdXi2USmKvwZarKg
131;KHS_11_UNI_RUS_2020_Кабульдинов З._2.pdf;file-QR2zLwojGe9k5FxEsyaDit
132;KLT_11_EMN_KAZ_2020_Ақтанова А.С._0.pdf;file-8oevWvAJ8V9osnTSQAQm4T
133;KLT_11_OGN_KAZ_2020_Ақтанова А.С._1.pdf;file-Nb2PTtGNaTETe6cu6vdn5F
134;KLT_11_OGN_KAZ_2020_Ақтанова А.С._2.pdf;file-FAmQbGcUnCkkDvC7GvehtR
135;KLT_11_OGN_KAZ_2020_Әлмұханова Р._0.pdf;file-GLZt6wwemZ3uDQ3Tj2Nekv
136;LAW_11_EMN_KAZ_2019_Ибраева А.С._0.pdf;file-7bdoestW4zBmG3ojdTxA3b
137;LAW_11_EMN_RUS_2019_Ибраева А.С._0.pdf;file-VF7WM8UaKrNtojAHMm6AZW
138;LAW_11_OGN_RUS_2019_Ибраева А.С._1.pdf;file-UdTq5WxuuM1ZKnbfP1bZWu
139;LAW_11_OGN_RUS_2019_Ибраева А.С._2.pdf;file-DBitjh8gG5mveG4WUhS7P9
140;RLH_11_OGN_RUS_2020_Абишева С.Д._0.pdf;file-TnyUsnPF2mt5kqR3KUSSg8
141;RLT_11_OGN_RUS_2020_Абишева С.Д._0.pdf;file-FxYYmLmbWhFkCT1cerAHWe
142;WHS_11_EMN_KAZ_2019_Қайырбекова Р.Р._0.pdf;file-XpMGAqZBFAAHUY9VB2oX5m
143;WHS_11_EMN_RUS_2019_Каирбекова Р.Р._0.pdf;file-Sc95cL69N6FnXjzJp433Vh
144;WHS_11_OGN_KAZ_2019_Қайырбекова Р.Р._1.pdf;file-USeukVuPdGae5VL17FYzbB
145;WHS_11_OGN_KAZ_2019_Қайырбекова Р.Р._2.pdf;file-Mtn4GYuwWtQd2V3a9QpJmK
146;WHS_11_OGN_RUS_2019_Каирбекова Р.Р._1.pdf;file-Nn2gaL7PTxp4PSUNwQKQT2
147;WHS_11_OGN_RUS_2019_Каирбекова Р.Р._2.pdf;file-6VvARXjn91fETzjkAvDAT3
